INFO:root:File: FileInfo(name='data_type', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='file_info', ext='log', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='fill_backpack', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='generate_pseudo_names', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='generate_random_pairs', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='guess_number', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='list_duplicates', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='main', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='multiplication_table', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='pseudonyms', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='pseudo_names', ext='txt', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='random_numbers', ext='txt', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='repeated_words', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='requirements', ext='txt', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='result', ext='txt', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task4', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task5', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task6', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task7', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task8', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task_is_prime', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task_list', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='task_triangle', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='union_files', ext='py', is_dir=False, parent_dir='pythonProject')
INFO:root:Dir: FileInfo(name='.idea', ext='', is_dir=True, parent_dir='pythonProject')
INFO:root:Dir: FileInfo(name='.venv', ext='', is_dir=True, parent_dir='pythonProject')
INFO:root:Dir: FileInfo(name='file_utils', ext='', is_dir=True, parent_dir='pythonProject')
INFO:root:Dir: FileInfo(name='test_folder', ext='', is_dir=True, parent_dir='pythonProject')
INFO:root:Dir: FileInfo(name='__pycache__', ext='', is_dir=True, parent_dir='pythonProject')
INFO:root:File: FileInfo(name='.gitignore', ext='', is_dir=False, parent_dir='.idea')
INFO:root:File: FileInfo(name='misc', ext='xml', is_dir=False, parent_dir='.idea')
INFO:root:File: FileInfo(name='modules', ext='xml', is_dir=False, parent_dir='.idea')
INFO:root:File: FileInfo(name='pythonProject', ext='iml', is_dir=False, parent_dir='.idea')
INFO:root:File: FileInfo(name='workspace', ext='xml', is_dir=False, parent_dir='.idea')
INFO:root:Dir: FileInfo(name='inspectionProfiles', ext='', is_dir=True, parent_dir='.idea')
INFO:root:File: FileInfo(name='profiles_settings', ext='xml', is_dir=False, parent_dir='inspectionProfiles')
INFO:root:File: FileInfo(name='.gitignore', ext='', is_dir=False, parent_dir='.venv')
INFO:root:File: FileInfo(name='pyvenv', ext='cfg', is_dir=False, parent_dir='.venv')
INFO:root:Dir: FileInfo(name='Lib', ext='', is_dir=True, parent_dir='.venv')
INFO:root:Dir: FileInfo(name='Scripts', ext='', is_dir=True, parent_dir='.venv')
INFO:root:Dir: FileInfo(name='site-packages', ext='', is_dir=True, parent_dir='Lib')
INFO:root:File: FileInfo(name='distutils-precedence', ext='pth', is_dir=False, parent_dir='site-packages')
INFO:root:File: FileInfo(name='pip-23.2.1', ext='virtualenv', is_dir=False, parent_dir='site-packages')
INFO:root:File: FileInfo(name='setuptools-68.2.0', ext='virtualenv', is_dir=False, parent_dir='site-packages')
INFO:root:File: FileInfo(name='six', ext='py', is_dir=False, parent_dir='site-packages')
